CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_NVA_ALIANZA,PRI_PVEM,PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,457,1,17.0,58.0,19.0,52.0,15.0,6.0,2.0,22.0,7.0,12.0,,9.0,0.0,0.0,14.0,233.0,726
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,458,2,17.0,83.0,39.0,78.0,18.0,20.0,5.0,27.0,13.0,6.0,,13.0,0.0,0.0,26.0,345.0,861
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,459,1,14.0,37.0,14.0,59.0,6.0,13.0,5.0,34.0,3.0,6.0,,14.0,0.0,0.0,26.0,231.0,709
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,460,2,24.0,89.0,25.0,85.0,12.0,9.0,13.0,39.0,5.0,9.0,,12.0,0.0,0.0,18.0,340.0,1040
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,461,1,5.0,32.0,10.0,32.0,9.0,5.0,7.0,26.0,7.0,6.0,,2.0,0.0,0.0,7.0,148.0,447
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,462,1,4.0,34.0,11.0,28.0,7.0,10.0,8.0,21.0,2.0,3.0,,11.0,0.0,0.0,17.0,156.0,511
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,463,1,19.0,47.0,27.0,45.0,13.0,13.0,10.0,25.0,10.0,2.0,,13.0,0.0,0.0,17.0,241.0,703
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,464,1,16.0,33.0,8.0,32.0,5.0,6.0,7.0,19.0,9.0,9.0,,4.0,0.0,0.0,17.0,165.0,501
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,465,1,13.0,50.0,15.0,26.0,10.0,16.0,7.0,49.0,2.0,6.0,,10.0,0.0,0.0,13.0,217.0,668
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,466,1,9.0,63.0,14.0,34.0,5.0,13.0,11.0,36.0,9.0,7.0,,12.0,0.0,0.0,11.0,224.0,647
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,467,1,2.0,37.0,14.0,22.0,10.0,8.0,5.0,23.0,3.0,4.0,,4.0,0.0,0.0,7.0,139.0,501
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,468,1,13.0,45.0,10.0,26.0,9.0,5.0,4.0,21.0,1.0,7.0,,5.0,0.0,0.0,16.0,162.0,521
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,469,1,18.0,31.0,12.0,30.0,1.0,15.0,6.0,30.0,7.0,3.0,,5.0,0.0,0.0,15.0,173.0,542
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,470,1,8.0,77.0,10.0,22.0,5.0,14.0,0.0,29.0,10.0,5.0,,5.0,0.0,2.0,11.0,198.0,590
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,471,1,16.0,49.0,23.0,34.0,7.0,15.0,8.0,31.0,3.0,11.0,,13.0,0.0,0.0,10.0,220.0,669
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,472,2,14.0,103.0,24.0,74.0,8.0,16.0,12.0,37.0,8.0,8.0,,17.0,0.0,1.0,27.0,349.0,980
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,473,2,19.0,65.0,25.0,66.0,16.0,14.0,17.0,46.0,7.0,9.0,,17.0,0.0,1.0,9.0,311.0,843
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,474,2,16.0,100.0,28.0,82.0,15.0,17.0,18.0,39.0,8.0,10.0,,24.0,0.0,0.0,26.0,383.0,1042
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,475,2,16.0,116.0,34.0,90.0,24.0,16.0,16.0,43.0,11.0,21.0,,20.0,0.0,0.0,23.0,430.0,1237
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,476,2,22.0,86.0,26.0,74.0,9.0,23.0,21.0,39.0,15.0,3.0,,16.0,0.0,0.0,21.0,355.0,1009
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,477,2,28.0,123.0,31.0,111.0,14.0,29.0,16.0,47.0,12.0,23.0,,21.0,0.0,0.0,28.0,483.0,1209
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,478,2,21.0,98.0,23.0,77.0,18.0,21.0,12.0,35.0,12.0,11.0,,16.0,0.0,1.0,28.0,373.0,999
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,479,2,16.0,66.0,16.0,75.0,11.0,19.0,10.0,74.0,7.0,7.0,,11.0,0.0,1.0,23.0,336.0,972
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,480,2,20.0,124.0,16.0,69.0,10.0,26.0,19.0,44.0,6.0,9.0,,11.0,0.0,0.0,21.0,375.0,1016
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,481,2,23.0,115.0,30.0,68.0,32.0,32.0,11.0,64.0,7.0,12.0,,14.0,0.0,2.0,24.0,434.0,1192
